Departamento,Municipio,Estado,Topografia,Drenaje,Materia orgánica (MO) %,Acidez (Al+H) KCL cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Zinc (Zn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,Produccion,Rendimiento
76.0,76828.0,2.0,10.0,20.0,12.479819363528238,0.3155258781226283,2.4710400000000003,0.04896,3.6,6.4,2.8000000000000003,0.1028957788067914,15.0,225.0,15.0
18.0,18256.0,2.0,16.0,20.0,2.486158860396848,2.148736524170704,0.59,0.14,1.082,2.192,1.0,0.1084430673896204,0.0,0.0,0.0
25.0,25154.0,2.0,11.0,20.0,4.325562331,2.380924138,1.7048942404999998,0.089833494,1.9,4.1,1.3,0.1051118184652238,7.0,84.0,12.0
66.0,66682.0,2.0,10.0,20.0,9.731720210699176,0.999098666,0.8559228400000001,0.14,9.78,2.4610000000000003,2.729,0.1538461538461538,11.0,525.0,50.0
76.0,76113.0,3.0,9.0,20.0,7.812274192353291,0.2668776789888714,4.45536,0.03808,2.7,6.1,0.8999999999999999,0.091145932,18.0,396.0,22.0
17.0,17495.0,2.0,16.0,20.0,3.24,0.531813714,0.90532834,0.14,1.885,2.433,1.0,0.078125,8.0,72.0,9.0
25.0,25183.0,2.0,10.0,21.0,5.994620857055742,1.0340064313099446,3.59424,0.0816,3.0,23.3,3.6,0.1743525622006527,0.0,0.0,0.0
68.0,68895.0,3.0,11.0,21.0,0.844332057,1.6313830094492188,2.0367142900000004,0.14,1.0,2.1,1.0,0.1098326359832636,22.0,352.0,16.0
5.0,5885.0,2.0,10.0,22.0,1.300305084745763,1.2056296953743697,1.78233086,0.12554528,1.102,5.991,1.0,0.1224398931433659,0.0,0.0,0.0
5.0,5615.0,2.0,10.0,20.0,17.27763526433885,2.119368318658013,0.8683291100000001,0.14,1.0,1.0,1.0,0.4318734793187347,14.0,280.0,20.0
25.0,25839.0,3.0,11.0,20.0,2.8457022570874573,1.8166236042218813,0.87458714,0.14,1.0,1.0,1.0,0.1272577996715928,0.0,0.0,0.0
47.0,47551.0,3.0,11.0,23.0,0.41,0.31,0.61,0.14,1.0,2.3,1.0,0.2,1.0,8.0,8.0
25.0,25885.0,3.0,10.0,20.0,7.260003755728473,2.0867188049027723,0.6050526900000001,0.04870621,1.665,2.51,1.951,0.1286049453042781,0.0,0.0,0.0
25.0,25245.0,2.0,9.0,20.0,15.309002581304272,0.9008283035107412,3.31379157,0.124397,3.107,1.0,1.946,0.3099163041542649,7.0,84.0,12.0
25.0,25653.0,3.0,9.0,21.0,6.139264405168508,3.979010127676564,0.59,0.14,1.899,3.05,1.0,0.1074614760746147,210.0,2.415,11.5
52.0,52560.0,2.0,9.0,21.0,4.981769075459857,1.3166783985991408,2.341508950617285,0.14,3.039094650205763,7.706790123456795,2.6985596707818944,0.254126233,0.0,0.0,0.0
25.0,5652.0,3.0,10.0,23.0,19.25,2.1,1.55,0.14,1.0,3.54,4.5,0.1,7.0,105.0,15.0
25.0,5652.0,2.0,16.0,20.0,7.540642537201069,4.073259152358806,3.989000070000001,0.2019059,1.21,3.544,3.769,0.2557636887608069,7.0,105.0,15.0
76.0,76616.0,2.0,16.0,21.0,3.267801130682797,0.05990087,12.34390928,0.14,7.914,10.878,3.3600000000000003,0.2197406340057636,0.0,0.0,0.0
25.0,25245.0,3.0,9.0,20.0,8.931450187191231,4.106738835,4.210885660000001,0.09128826,1.0,9.283,6.74,0.5511795863532513,7.0,84.0,12.0
50.0,50573.0,3.0,10.0,20.0,1.3217688516458024,1.2191611686758668,0.59,0.14,1.0,1.0,1.0,0.1020487083856109,0.0,0.0,0.0
76.0,76828.0,2.0,10.0,20.0,9.27,0.3435566461321471,1.9968,0.0272,4.6000000000000005,7.800000000000001,1.5,0.1249587121048927,15.0,225.0,15.0
86.0,86865.0,2.0,11.0,21.0,9.96,0.44,0.59,0.14,4.34,2.55,1.0,0.01,140.0,910.0,6.5
54.0,54223.0,2.0,11.0,21.0,1.19,0.230687985,4.3047561100000005,0.20324556,2.45,24.251,1.935,0.23,25.0,375.0,15.0
23.0,23162.0,2.0,11.0,20.0,1.197000189058041,1.3200609062777426,0.68552876,0.20133176,1.0,4.222,1.0,0.2422294328986629,0.0,0.0,0.0
50.0,18592.0,3.0,11.0,20.0,0.6893169849006411,5.168482085387515,0.7335069900000001,0.14,1.668,3.229,1.0,0.1669634906500445,350.0,6.3,18.0
25.0,25394.0,2.0,10.0,20.0,6.965003569,3.1062572164306106,0.53314024,0.20018348,1.18,1.0,1.605,0.1527425101136396,120.0,1.8,15.0
25.0,25862.0,3.0,9.0,20.0,4.798487116114562,1.755453533907532,6.505716240000001,0.08219771,9.091,1.123,5.849,0.1822658698582309,10.0,100.0,10.0
68.0,68679.0,2.0,9.0,20.0,3.944608400784381,1.137413105919679,3.0275690400000004,0.14,1.0,1.0,1.0,0.2675276752767528,150.0,3.0,20.0
19.0,19533.0,2.0,16.0,21.0,1.79,4.55,0.61,0.14,1.0,1.15,1.0,0.2,10.0,83.0,8.3
5.0,5885.0,2.0,10.0,21.0,2.517819209039548,2.578999174,0.59,0.14,1.0,1.0,1.0,0.1001780943900267,0.0,0.0,0.0
15.0,15686.0,2.0,9.0,20.0,6.674694880506932,2.9318093266680485,3.68213702,0.2602768,1.051,14.88,2.008,0.1633674076477906,0.0,0.0,0.0
54.0,54223.0,2.0,11.0,21.0,1.4321480182102877,0.1549430458033078,1.12106569,0.13071254,1.0,2.27,1.0,0.2493305150402533,25.0,375.0,15.0
50.0,5313.0,3.0,11.0,21.0,0.9797642366400144,1.0014132148494324,1.43517488,0.14,1.3139999999999998,23.712,1.0,0.1272577996715928,625.0,8.375,13.4
5.0,5310.0,3.0,10.0,20.0,1.6865816603076131,0.98510318,0.8682281919191921,0.3322086161616162,1.0,1.621212121212121,1.0,0.1089766714766715,0.0,0.0,0.0
76.0,50606.0,2.0,10.0,20.0,4.603983010144119,0.4731696193200597,4.378833720930233,0.14,6.029598308668077,10.43446088794926,1.8224101479915435,0.1599231291149554,20.0,140.0,7.0
25.0,25807.0,2.0,10.0,20.0,2.628806187260722,1.4280971686368549,1.98456404,0.14,2.42,6.491,5.21,0.045155993,6.0,50.0,8.27
25.0,25779.0,2.0,9.0,20.0,10.536854825164708,2.539652413743413,0.910263173,0.05263214,1.9,3.2,0.8999999999999999,0.1666406878107207,13.0,154.0,14.0
15.0,15514.0,3.0,9.0,20.0,3.7571725268201046,0.3297004471397748,2.8090826958290944,0.14,3.234994914,10.762970498474058,1.6195320447609358,0.068108863,0.0,0.0,0.0
25.0,25224.0,2.0,10.0,20.0,37.72159475194604,2.361083103,2.033675864,0.056579551,0.6,3.7,1.3,0.084602195,0.0,0.0,0.0
5.0,5411.0,3.0,10.0,21.0,2.087184729871294,1.389107046416047,9.62208,0.09792,2.4,15.6,0.6,0.093411465,12.0,90.0,7.5
5.0,5607.0,2.0,10.0,20.0,19.85084135680984,1.2217757340577895,3.9348736,0.05320364,1.0,2.5130000000000003,2.705,0.3531686736397996,12.0,120.0,10.0
19.0,19533.0,2.0,11.0,21.0,1.74,2.28,0.59,0.14,1.0,1.97,1.0,0.06,10.0,83.0,8.3
18.0,18256.0,3.0,16.0,20.0,1.0262843288507055,3.328090897259067,0.59,0.14,1.5779999999999998,8.914,1.0,0.1443123938879456,0.0,0.0,0.0
19.0,19533.0,2.0,11.0,20.0,0.9605844568170075,1.3726776970465504,1.45392,0.07072,1.4,9.9,1.1,0.093411465,10.0,83.0,8.3
25.0,25245.0,2.0,10.0,20.0,16.927032208411372,1.677404427226897,2.2367516700000003,0.09243654,1.245,4.757,3.135,0.3099163041542649,7.0,84.0,12.0
25.0,25317.0,2.0,10.0,20.0,7.392248584563986,2.681528964771778,1.3197923990000002,0.036627185,1.347,2.182,1.784,0.2250073801378783,0.0,0.0,0.0
5.0,5686.0,3.0,10.0,23.0,4.693718006411377,0.9483674117618608,1.01863162,0.1428651699999999,1.0,4.852,1.489,0.16,5.0,65.0,13.0
76.0,76147.0,2.0,10.0,20.0,1.3210965441943796,0.653087641,7.07616,0.04352,5.2,19.3,1.5,0.1337142364836817,96.0,240.0,2.5
5.0,5615.0,2.0,10.0,20.0,1.4498151893977076,0.1038906038557849,0.59,0.14,1.0,1.752,1.0,0.087185726,14.0,280.0,20.0
25.0,25535.0,2.0,10.0,21.0,10.55247836849224,0.7242435297271546,2.808,0.01632,6.1,5.2,12.0,0.1936226474911375,41.0,533.0,13.0
76.0,76243.0,2.0,9.0,20.0,15.2,0.8689962225695484,2.03424,0.03808,2.2,5.1,5.9,0.1608612295894188,0.0,0.0,0.0
5.0,5649.0,3.0,9.0,20.0,1.1935085303719437,0.1793334878912222,1.1755482595573434,0.14,2.0523138832997976,9.798792757,1.0,0.121558714,20.0,360.0,18.0
5.0,5686.0,3.0,10.0,20.0,5.499080380361546,0.6736495477552998,1.3536009100000002,0.14,1.373,1.841,1.5179999999999998,0.2434928631402183,5.0,65.0,13.0
76.0,76520.0,2.0,10.0,20.0,5.342667977863313,1.7066967515730664,7.487999999999999,0.04352,8.100000000000001,12.1,2.3000000000000003,0.2844661625047207,3.0,40.0,20.0
25.0,25878.0,2.0,10.0,20.0,5.241783009121102,5.471641076160456,5.76576,0.03264,3.5,6.2,3.3000000000000003,0.1539970388811875,0.0,0.0,0.0
25.0,25823.0,2.0,10.0,20.0,6.287991685366132,5.630337238532198,0.544730686,0.059450395,5.704000000000001,0.916,3.669,0.2141073179047862,0.0,0.0,0.0
25.0,25873.0,2.0,10.0,21.0,4.514495996110474,5.570640826690124,2.0470741649484547,0.14,1.251546391752578,3.634020618556703,1.365979381,0.214110865,0.0,0.0,0.0
15.0,15686.0,2.0,10.0,20.0,6.136416463469367,0.1249623647432282,9.94554673,1.2047370999999998,1.998,9.312,4.584,0.3531845460607408,0.0,0.0,0.0
5.0,5425.0,2.0,9.0,20.0,2.5417529109069408,1.176191680816965,1.3452875580221997,0.14,5.965691220988898,35.16750756811301,1.0,0.1584720892103635,110.0,1.65,15.0
68.0,68895.0,2.0,9.0,20.0,2.795595153833121,6.776194262451956,1.1988157823834196,0.14,1.0,10.455958549222794,1.0,0.1458581957977217,22.0,352.0,16.0
25.0,25288.0,2.0,11.0,20.0,13.315018256537613,0.5139173158291264,12.35270902,0.26904593,5.347,30.816,17.859,0.6157205619323807,0.0,0.0,0.0
