Departamento,Municipio,"pH agua:suelo 2,5:1,0",Materia orgánica (MO) %,Azufre (S) Fosfato monocalcico mg/kg,Acidez (Al+H) KCL cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,"Conductividad el‚ctrica (CE) relacion 2,5:1,0 dS/m",Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,AC,Produccion,Rendimiento,T_max,T_pro,P_max,Cultivo
85,85279,4.52,1.819464146,2.905759162,6.53801009,1.41826722,0.11119178,0.0940552,990.539,1.0,1.0,0.087982833,42,42.0,294.0,7.0,,,,Frutales
25,25491,5.27,8.862592037,6.570680628,0.183594667,13.68806825,0.14,0.4269472,756.162,8.167,8.495,0.087982833,3,3.0,45.0,15.0,,,,Forestal
25,25123,5.44,7.238601526,11.40789474,0.228982409,7.915859,0.13166944,0.4031692,1786.911,1.392,10.884,0.28111588,19,19.0,342.0,18.0,26.0,19.0,22.0,Frutales
25,25154,5.05,2.313384827,3.513157895,2.25859922,3.06599554,0.16736181,0.1468952,2084.817,1.14,3.107,0.087982833,7,7.0,84.0,12.0,22.0,11.0,15.0,Pastos
25,25154,5.16,4.570938515,14.82894737,2.862280117,3.36275791,0.15195572,0.2446492,1057.925,1.0,2.822,0.173819742,7,7.0,84.0,12.0,22.0,11.0,15.0,Pastos
25,25154,4.99,3.329671882,3.513157895,2.779013787,3.62614412,0.20678609,0.1992068,1456.371,1.0,6.262,0.087982833,7,7.0,84.0,12.0,22.0,11.0,15.0,Pastos
25,25154,5.19,20.92144565,8.513157895,2.071249976,3.68718736,0.14123844,0.3260228,435.71,1.0,2.261,0.130901288,7,7.0,84.0,12.0,22.0,11.0,15.0,Pastos
50,5313,5.34,2.324596322,1.699438202,0.70532408,2.93369859,0.10095295,0.1759572,4.01,3.015,14.251,0.186895339,625,625.0,8.375,13.0,35.0,32.0,,Cacao
50,5313,5.16,1.552700335,6.053370787,1.442229835,1.23173401,0.14,0.1199468,245.443,1.568,8.003,0.142919965,625,625.0,8.375,13.0,35.0,32.0,,Cacao
50,5313,5.08,1.70805047,1.83988764,1.073776957,2.42504152,0.11425386,0.1326284,288.376,2.2,10.241,0.142919965,625,625.0,8.375,13.0,35.0,32.0,,Cacao
