Departamento,Municipio,"pH agua:suelo 2,5:1,0",Materia orgánica (MO) %,Azufre (S) Fosfato monocalcico mg/kg,Acidez (Al+H) KCL cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,"Conductividad el‚ctrica (CE) relacion 2,5:1,0 dS/m",Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,AC,Produccion,Rendimiento,T_max,T_pro,P_max,Cultivo
50,5313,4.93,1.807571651,5.632022472,1.379066484,2.15012736,0.13176513,0.2752964,252.494,1.929,24.573,0.186895339,625,625,8.375,13,35,32,0,Cacao
50,5313,5.31,2.467809729,1.980337079,1.242212558,3.33937264,0.1110004,0.1321,469.15,2.507,9.052,0.208883026,625,625,8.375,13,35,32,0,Cacao
50,5313,5.37,1.74931535,3.946629213,0.72637853,2.26749287,0.14,0.1389692,417.043,2.648,6.73,0.31882146,625,625,8.375,13,35,32,0,Cacao
50,5313,5.25,2.089143772,6.755617978,0.547415704,3.50427722,0.15549625,0.2187576,519.134,4.241,12.702,0.208883026,625,625,8.375,13,35,32,0,Cacao
50,5313,4.96,1.892528757,3.244382022,1.789628262,1.51993276,0.17071096,0.1284012,409.508,2.601,8.88,0.252858399,625,625,8.375,13,35,32,0,Cacao
50,5313,4.86,1.887674065,6.193820225,1.589610986,2.10665052,0.16429973,0.2018488,641.267,3.46,11.273,0.252858399,625,625,8.375,13,35,32,0,Cacao
50,5313,5.1,1.589110523,2.120786517,1.042195282,2.17406158,0.24649744,0.2018488,434.775,1.799,16.598,0.164907652,625,625,8.375,13,35,32,0,Cacao
50,5313,5,1.407059582,4.087078652,0.989559157,1.87718942,0.10573745,0.1854684,284.009,2.699,8.412,0.208883026,625,625,8.375,13,35,32,0,Cacao
50,5313,5.02,2.079434389,2.542134831,1.673828786,2.30591937,0.15903678,0.155878,367.576,3.023,7.054,0.142919965,625,625,8.375,13,35,32,0,Cacao
50,5313,5.46,1.754170042,2.401685393,0.336871202,3.86427863,0.12650218,0.1838832,319.825,2.854,7.382,0.186895339,625,625,8.375,13,35,32,0,Cacao
50,5313,5.39,1.569691756,2.120786517,0.736905755,2.8391694,0.15224279,0.103038,212.256,2.196,5.766,0.142919965,625,625,8.375,13,35,32,0,Cacao
20,20570,4.91,1.538136259,3.384831461,1.55802931,3.14691077,0.17769633,0.2409504,275.924,1,3.456,0.186895339,420,420,2.529,6,31,20,10,Cacao
20,20570,5.1,1.494444034,3.244382022,1.294848684,2.92985594,0.13406169,0.2182292,365.761,1,3.606,0.31882146,420,420,2.529,6,31,20,10,Cacao
20,20570,5.29,1.647366824,3.946629213,0.610579054,4.02094896,0.38505656,0.2235132,329.549,1,3.967,0.186895339,420,420,2.529,6,31,20,10,Cacao
20,20570,5.1,2.802783459,3.806179775,0.74743298,3.77084734,0.14401345,0.1606336,309.012,1,23.775,0.208883026,420,420,2.529,6,31,20,10,Cacao
20,20570,5.06,2.737245121,6.053370787,0.968504707,3.26789935,0.1253539,0.1775424,337.326,1,24.382,0.186895339,420,420,2.529,6,31,20,10,Cacao
20,20570,5.23,2.618305173,1.418539326,0.189490051,3.28305037,0.124397,0.2066044,313.764,2.318,15.788,0.164907652,420,420,2.529,6,31,20,10,Cacao
20,20570,5.06,1.70805047,3.244382022,2.042281664,1.42639168,0.13999447,0.0988108,292.622,1,1.729,0.186895339,420,420,2.529,6,31,20,10,Cacao
20,20570,4.72,2.259057984,4.929775281,1.937009413,1.58580676,0.14554449,0.203434,508.794,1.354,3.095,0.164907652,420,420,2.529,6,31,20,10,Cacao
20,20570,5.31,2.919296061,1.699438202,0.294762302,4.0786985,0.15281693,0.3080572,396.913,1.698,11.041,0.142919965,420,420,2.529,6,31,20,10,Cacao
50,50006,4.39,2.045451547,4.929775281,3.705583225,1.15158731,0.12410993,0.1627472,1091.497,1.726,4.246,0.208883026,0,0,0,0,0,0,0,Cacao
50,50006,5.18,0.887607565,2.401685393,0.368452877,1.34953868,0.1387505,0.0892996,799.073,1,1.046,0.186895339,0,0,0,0,0,0,0,Cacao
50,50006,5.02,3.159603302,5.77247191,0.652687954,3.43005918,0.12908581,0.335534,1017.379,1,10.241,0.186895339,0,0,0,0,0,0,0,Frutales
50,50006,4.37,1.234718025,5.912921348,3.073949721,1.15707681,0.15138158,0.1231172,930.644,1.378,6.201,0.186895339,0,0,0,0,0,0,0,Aguacate
50,50006,5.4,0.882752874,3.525280899,0.631633504,1.6545353,0.13645394,0.0729192,80.101,1.523,3.33,0.164907652,0,0,0,0,0,0,0,Cacao
50,50006,4.73,1.441042424,3.244382022,2.621279043,1.00040648,0.10631159,0.0745044,869.539,1.902,5.156,0.142919965,0,0,0,0,0,0,0,Aguacate
50,50006,5.14,1.147333574,9.283707865,2.547588467,2.19876433,0.11884698,0.1009244,343.288,2.525,8.178,0.164907652,0,0,0,0,0,0,0,Cacao
50,50006,5.19,3.560115371,2.68258427,0.526361254,2.8995539,0.12564097,0.1912808,870.628,1.323,8.086,0.230870712,0,0,0,0,0,0,0,Frutales
50,50006,4.97,1.047812393,2.120786517,5.053068034,1.89914742,0.1320522,0.0940552,213.466,2.12,14.735,0.186895339,0,0,0,0,0,0,0,Cacao
50,50006,4.74,1.392495507,9.564606742,8.11649053,1.83590838,0.20755161,0.1120208,380.347,3.037,24.049,0.142919965,0,0,0,0,0,0,0,Cacao
50,50006,4.47,1.433760387,2.120786517,10.90620517,1.65596257,0.2181732,0.2134736,607.035,1,3.994,0.186895339,0,0,0,0,0,0,0,Cacao
50,50006,4.73,1.22015395,4.508426966,9.527138689,1.20933685,0.13004271,0.0908848,560.56,1.937,3.252,0.186895339,0,0,0,0,0,0,0,Cacao
50,50006,4.53,1.242000063,5.491573034,4.779360182,1.10898879,0.14200396,0.103038,714.329,1.393,1.781,0.538698329,0,0,0,0,0,0,0,Cacao
20,20570,5.45,1.244427409,4.087078652,0.326343977,3.15799956,0.1502333,0.1595768,71.336,1,6.071,0.186895339,420,420,2.529,6,31,20,10,Cacao
20,20570,5.22,0.967709979,3.384831461,0.642160729,2.4461212,0.1502333,0.1363272,57.44,1,5.957,0.252858399,420,420,2.529,6,31,20,10,Cacao
20,20570,5.09,1.666785591,6.193820225,4.074036102,1.98708921,0.32295375,0.1706732,99.512,1,8.523,0.186895339,420,420,2.529,6,31,20,10,Cacao
20,20570,5.49,0.707983971,3.806179775,1.147467533,3.80103959,0.29721314,0.1701448,30.869,1,5.029,0.142919965,420,420,2.529,6,31,20,10,Cacao
20,20570,5.41,1.312393093,5.491573034,0.273707852,3.64305178,0.47280429,0.2229848,227.623,1,6.576,0.230870712,420,420,2.529,6,31,20,10,Cacao
20,20570,4.83,2.691125549,4.087078652,1.073776957,1.91836067,0.17769633,0.195508,519.838,1.466,5.861,0.164907652,420,420,2.529,6,31,20,10,Cacao
20,20570,5.35,1.319675131,8.721910112,0.863232456,4.32199314,0.17654805,0.1394976,76.09,1.512,3.802,0.142919965,420,420,2.529,6,31,20,10,Cacao
20,20570,5.14,1.501726071,4.01,1.831737162,2.4680792,0.17683512,0.1273444,297.693,1.705,1,0.186895339,420,420,2.529,6,31,20,10,Cacao
20,20570,5.46,2.016323396,2.401685393,0.515834028,3.04798998,0.14841519,0.1035664,67.735,1.704,8.963,0.164907652,420,420,2.529,6,31,20,10,Cacao
20,20570,5.41,1.159470303,1.83988764,0.821123556,3.66094755,0.16984975,0.1363272,96.139,1,1.323,0.406772208,420,420,2.529,6,31,20,10,Cacao
20,20570,5.23,1.661930899,7.31741573,1.105358632,4.9251794,0.22161804,0.1775424,233.002,1.825,9.224,0.450747581,420,420,2.529,6,31,20,10,Cacao
20,20570,4.9,1.877964682,5.210674157,4.810941857,1.47590697,0.12009095,0.227212,231.671,1.628,6.29,0.142919965,420,420,2.529,6,31,20,10,Cacao
20,20570,4.81,1.950785058,5.351123596,2.96867747,2.08194777,0.17922737,0.1801844,314.281,1.746,8.946,0.252858399,420,420,2.529,6,31,20,10,Cacao
25,19397,5.28,3.669345936,3.946629213,1.842264387,2.52033924,0.17329459,0.113606,281.138,1,2.634,0.186895339,12,12,156,13,30,21,0,Cacao
17,17662,5.42,6.185837012,9.256756757,0.82007629,0.93,0.14,0.13,217.074,1.163,2.138,0.11,0,0,0,0,0,0,0,Aguacate
54,54174,5.46,1.695913741,3.384831461,0.357925652,4.02369371,0.10832108,0.203434,496.705,6.98,15.261,0.428759894,0,0,0,0,0,0,3,Forestal
25,25297,4.76,6.314351913,4.22752809,5.137285835,1.25325285,0.14,0.0998676,476.586,1,1,0.31882146,0,0,0,0,0,0,0,Pastos
5,5364,5.13,14.27334724,16.18715084,0.547415704,9.15418041,0.10124002,1.33421,169.169,25.248,23.641,0.687093779,0,0,0,0,0,0,0,Aguacate
5,5364,4.81,13.14385865,45.32122905,2.494952342,3.93443444,0.1358798,0.7376464,364.815,10.543,10.617,0.292479109,0,0,0,0,0,0,0,Aguacate
5,5364,4.7,17.35734215,53.70111732,1.894900513,2.68315781,0.14142982,0.929984,261.679,4.386,9.278,0.338904364,0,0,0,0,0,0,0,Aguacate
5,5364,5.03,16.03633159,45.32122905,0.68426963,5.18011178,0.12851167,1.128134,219.065,11.933,16.578,0.338904364,0,0,0,0,0,0,0,Aguacate
5,5364,4.64,11.88177793,41.82960894,2.137026689,5.17736703,0.11616766,1.6739712,493.119,6.392,19.119,0.431754875,0,0,0,0,0,0,0,Aguacate
5,5364,4.95,6.812559503,66.27094972,1.305375909,2.2298349,0.10765125,0.6488752,179.102,3.355,14.005,0.408542247,0,0,0,0,0,0,0,Aguacate
5,5364,5.4,7.485341834,50.90782123,0.231598952,3.08553816,0.12353579,0.70013,95.941,3.481,9.841,0.687093779,0,0,0,0,0,0,0,Aguacate
5,5364,5.02,12.28937598,67.66759777,0.800069105,2.07964218,0.12650218,0.6562728,174.262,2.619,8.922,0.385329619,0,0,0,0,0,0,0,Aguacate
5,5364,5.23,13.73806786,19.12011173,0.136853926,3.03591308,0.14592725,1.054158,85.574,2.913,7.899,0.17641597,0,0,0,0,0,0,0,Aguacate
95,13140,4.73,2.028482855,2.04954955,2.286565657,0.94,0.11,0.14,393.327,1.149,5.293,0.11,750,750,9.75,13,0,0,0,Forestal
5,5364,5.43,11.71972087,25.96368715,0.115799476,3.89853311,0.16410835,0.8755588,85.426,3.809,8.132,0.17641597,0,0,0,0,0,0,0,Aguacate
5,5364,5.04,10.45272933,81.63407821,0.536888479,3.45487172,0.13119099,0.9638016,338.987,5.047,19.716,0.338904364,0,0,0,0,0,0,0,Aguacate
47,47245,4.95,0.897476896,2.779329609,0.357925652,1.26653744,0.14,0.1236456,306.163,1,2.511,0.199628598,900,900,6.3,7,40,30,6,Pastos
